id,conversation_id,start_at,分类,category,rounds,score,inboundHits,vaHits,sceneTags,vasc,eb,wi,omsClass,omsOrderNo,omsScene
62942,7627376532545421322,2026/04/28 09:35,,"转人工,Other intentions,转人工,转人工,入库,价格方案,转人工,转人工",7,31.22,入库单,VASC,,VASC000000271959,,,inbound_other,VASC000000271959,
52612,7574980522105389075,2026/04/11 09:47,退货,"转人工,转人工,转人工,退货,系统故障和投诉,退货,系统故障和投诉,退货,转人工,系统故障和投诉",6,31.18,异常单,增值单|提交增值,,,,,,,
96258,7633652622213611560,2026/06/26 11:18,,"转人工,转人工,通知与待办,系统故障和投诉,通知与待办,转人工",4,30.66,到仓,提交增值,B,,,,,,
43433,7607820269344948234,2026/02/21 18:26,账户,"账号和权限,转人工,账号和权限,账号和权限,转人工,Other intentions,入库,入库,转人工,转人工,入库,入库,入库",10,30.4,EB,提交增值,,,EB0326021727123204,,,,
85746,7576229363516047394,2026/06/08 11:15,,"转人工,转人工,入库,转人工,转人工,入库,转人工,转人工,转人工,转人工,转人工,转人工",12,30.06,EB,增值单,,,EB0126060330071736,,,,
122153,7522671921138303016,2026/08/12 12:55,入库,"入库,库存管理,库存管理,库存管理,库存管理,价格方案,入库,价格方案",6,29.92,EB,非标增值,,,EB0126081232158380,,inbound_other,VASC000000333915|VASC000000334548|VASC000000334815|VASC000000334821|VASC000000335184,【入库】批量辨识商品后补贴商品条码及包裹条码上架
113680,7572094285957759003,2026/07/28 20:02,增值,"出库,出库,库存管理",2,29.78,贴标,增值单,F-001,,,,,,
130043,7543454053764071465,2026/08/26 15:38,库存,"基本业务和政策介绍,退货,入库,价格方案,入库,库存管理,入库,库存管理,财务、充值和结算,价格方案,库存管理",4,29.56,换标,开增值,F-001,,,,,,
77355,7640326521991413760,2026/05/23 15:26,,"入库,库存管理,商品,入库,系统故障和投诉,转人工,系统故障和投诉",4,29.26,EB,处理异常,,,EB01210417185096,,,,
103222,7603634656219775014,2026/07/09 11:42,,"财务、充值和结算,入库,基本业务和政策介绍",2,29.24,包裹条码,增值单,F-001,,,,,,
64515,7628076572294004788,2026/04/30 09:03,入库,"Other intentions,出库,入库,库存管理,转人工,转人工,出厂发运,转人工,出库",5,29.16,EB,处理异常,,,EB0126042729071026,,,,
328,7503501995492409395,2025/05/12 18:21,,,11,29.06,换标,处理异常,F-001,,,,,,
77185,7599511503298183222,2026/05/23 10:21,,"商品,入库,转人工,商品,入库,转人工,商品",4,28.96,包裹条码,提交增值,F-001,,,,,,
90544,7609874676919140367,2026/06/16 16:26,库内,"转人工,入库,库存管理,转人工",3,28.72,EB,提交增值,,,EB0126061330403,,,,
79495,7637826915529752585,2026/05/27 14:00,商品,"商品,入库,转人工",2,28.48,包裹条码,处理异常,F-001,,,,,,
81161,7537882467606167591,2026/05/30 11:01,出库,"入库,财务、充值和结算,价格方案,入库,转人工,Other intentions,Other intentions,入库,转人工,转人工",6,28.26,WI,提交增值,,,,WI47715542,,,
107617,7661880020726022150,2026/07/16 13:39,退货,"地址咨询,地址咨询,转人工,基本业务和政策介绍,库存管理,出厂发运,库存管理,价格方案,转人工,价格方案",7,27.76,贴标,非标增值,F-001,,,,,,
23159,7537248827360919604,2025/11/27 12:18,出库,,6,27.76,贴标,增值单,F-001,,,,,,
28629,7582175185459363875,2025/12/15 16:14,商品,"Other intentions,Other intentions,库存管理,商品,库存管理,商品,库存管理,商品,库存管理",6,27.62,商品条码,增值单,F-001,,,,,,
31469,7573661568152649762,2025/12/27 15:25,入库,"转人工,出库,尾程,转人工,出库,尾程,转人工,Other intentions,系统故障和投诉",4,27.0,EB,增值单,,,EB0125110423872992,,inbound_other,VASC000000186279,
24096,7579149581154287622,2025/12/02 14:51,库内,,3,26.78,换标,增值单,F-001,,,,,,
69250,7522652754033131556,2026/05/11 10:33,,"转人工,入库",2,26.78,WI,下增值,,,,WI47269025,,,
13645,7553533814359638067,2025/09/24 14:09,,,2,26.36,贴标,增值单,F-001,,,,,,
55623,7536396473387597843,2026/04/16 09:50,增值,"转人工,转人工,转人工,入库,商品,转人工,入库,转人工",6,25.18,入库单,处理异常,,,,,,,
84670,7592098075901460515,2026/06/05 16:24,增值,"转人工,账号和权限,Other intentions,转人工,转人工,入库,转人工,入库,转人工,入库",7,24.8,入库单,增值单,,,,,,,
8458,7535000485750145074,2025/09/26 08:44,,,2,24.64,WI,增值单,,,,WI45935732,,,
75590,7641852430610989071,2026/05/20 14:11,,"ERP和平台同步,库存管理,入库,价格方案,出库,尾程",5,24.4,入库单,增值单,,,,,,,
39355,7599553074159452194,2026/01/26 14:27,,"账号和权限,系统故障和投诉,入库,账号和权限,其他意图,账号和权限,出库,入库",4,23.82,入库单,提交增值,,,,,,,
112422,7554223530638000154,2026/07/25 09:42,入库,"退货,入库,转人工,商品,入库,库存管理,账号和权限,入库,库存管理",3,23.4,入库单,非标增值,,,,,,,
132791,7628477716681654318,2026/08/31 11:25,,"Other intentions,系统故障和投诉,入库,库存管理,出库,退货,退货,系统故障和投诉,退货,系统故障和投诉",4,23.32,异常单,处理异常,,,,,,,
73957,7628499999131959348,2026/05/18 16:50,退货,"入库,库存管理,财务、充值和结算,财务、充值和结算",3,23.32,入库单,增值单,,,,,,,
42839,7563562590866309162,2026/02/14 22:51,,"转人工,Other intentions,入库",3,23.04,异常单,处理异常,,,,,,,
55913,7616302246116393002,2026/04/16 11:38,,"财务、充值和结算,转人工,入库,转人工,入库,转人工,入库",4,22.88,入库单,处理异常,,,,,,,
31340,7587253913688014863,2025/12/26 17:06,,"商品,入库,转人工,账号和权限,账号和权限,转人工",4,22.6,异常单,处理异常,,,,,,,
51602,7625843570021154859,2026/04/07 10:48,,入库,1,22.32,异常单,处理异常,,,,,,,
125489,7573574403473260582,2026/08/18 10:37,,"转人工,尾程,转人工,出库,尾程,出库,尾程,转人工",4,21.04,异常单,处理异常,,,,,,,
47793,7520813157024055315,2026/03/18 16:43,库存,"商品,库存管理,库存管理,库存管理",3,20.96,异常单,处理异常,,,,,,,
125000,7637406534708445222,2026/08/17 09:39,,"系统故障和投诉,系统故障和投诉",2,20.84,异常单,增值单,,,,,,,
74164,7639638593036484658,2026/05/18 17:48,,"库存管理,账号和权限",1,20.68,异常单,下增值,,,,,,,
85975,7630728066834776099,2026/06/08 10:52,,"转人工,退货,退货,退货,退货,转人工",5,20.68,异常单,处理异常,,,,,,,
50569,7579569327981690907,2026/04/01 19:15,入库,"出库,尾程,系统故障和投诉,出库,尾程,转人工,系统故障和投诉,尾程,系统故障和投诉,系统故障和投诉,Other intentions,出库,尾程,系统故障和投诉",5,20.62,异常单,处理异常,,,,,,,
97580,7656707805999579162,2026/06/29 14:57,,"Other intentions,库存管理,财务、充值和结算",2,20.44,异常单,增值单,,,,,,,
4468,7524153054967595044,2025/07/07 09:56,,,1,20.36,入库单,处理异常,,,,,,,
35302,7591703374119518208,2026/01/05 10:46,,"沟通打趣,转人工,转人工",3,20.32,异常单,处理异常,,,,,,,
57295,7520138065247993891,2026/04/20 14:20,,"ERP和平台同步,转人工,系统故障和投诉,ERP和平台同步,系统故障和投诉,转人工",2,20.26,异常单,处理异常,,,,,,,
41902,7529501962635575342,2026/02/09 14:53,,,1,20.22,入库单,增值单,,,,,,,
24244,7575732792546869274,2025/12/02 11:44,,,1,20.14,异常单,处理异常,,,,,,,
